OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2025-01-01,16,0,2025-01-01T23:00:00-00:00,2025-01-02T00:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,4910.81241,ACTUAL,9
2025-01-01,11,0,2025-01-01T18:00:00-00:00,2025-01-01T19:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8656.73525,ACTUAL,9
2025-01-01,15,0,2025-01-01T22:00:00-00:00,2025-01-01T23:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,7411.77457,ACTUAL,9
2025-01-01,5,0,2025-01-01T12:00:00-00:00,2025-01-01T13:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-36.19739,ACTUAL,9
2025-01-01,14,0,2025-01-01T21:00:00-00:00,2025-01-01T22:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8401.21381,ACTUAL,9
2025-01-01,21,0,2025-01-02T04:00:00-00:00,2025-01-02T05:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-22.56094,ACTUAL,9
2025-01-01,13,0,2025-01-01T20:00:00-00:00,2025-01-01T21:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8240.27051,ACTUAL,9
2025-01-01,4,0,2025-01-01T11:00:00-00:00,2025-01-01T12:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-36.38921,ACTUAL,9
2025-01-01,12,0,2025-01-01T19:00:00-00:00,2025-01-01T20:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8260.62572,ACTUAL,9
2025-01-01,9,0,2025-01-01T16:00:00-00:00,2025-01-01T17:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,6656.64937,ACTUAL,9
2025-01-01,24,0,2025-01-02T07:00:00-00:00,2025-01-02T08:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-21.62071,ACTUAL,9
2025-01-01,3,0,2025-01-01T10:00:00-00:00,2025-01-01T11:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-37.57774,ACTUAL,9
2025-01-01,23,0,2025-01-02T06:00:00-00:00,2025-01-02T07:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-21.47684,ACTUAL,9
2025-01-01,20,0,2025-01-02T03:00:00-00:00,2025-01-02T04:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-22.91475,ACTUAL,9
2025-01-01,22,0,2025-01-02T05:00:00-00:00,2025-01-02T06:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-21.41505,ACTUAL,9
2025-01-01,2,0,2025-01-01T09:00:00-00:00,2025-01-01T10:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-37.88463,ACTUAL,9
2025-01-01,8,0,2025-01-01T15:00:00-00:00,2025-01-01T16:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1971.47862,ACTUAL,9
2025-01-01,7,0,2025-01-01T14:00:00-00:00,2025-01-01T15:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-23.26063,ACTUAL,9
2025-01-01,18,0,2025-01-02T01:00:00-00:00,2025-01-02T02:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,150.98249,ACTUAL,10
2025-01-01,17,0,2025-01-02T00:00:00-00:00,2025-01-02T01:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,75.10822,ACTUAL,10
2025-01-01,16,0,2025-01-01T23:00:00-00:00,2025-01-02T00:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,84.95663,ACTUAL,10
2025-01-01,15,0,2025-01-01T22:00:00-00:00,2025-01-01T23:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,98.22033,ACTUAL,10
2025-01-01,14,0,2025-01-01T21:00:00-00:00,2025-01-01T22:00:00-00:00,SP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,62.07683,ACTUAL,10
